Title,Address,District,KT,LB,LT,Price,index
"jual rumah margahayu raya , bangunan baru on progres",rancasari,rancasari,2.0,50,72,650000007.0,1
singgasana bangunan  lux,cibaduyut,bojongloa kidul,5.0,950,450,16000000000.0,1
dijual rumah suryalaya cijagra buahbatu halaman luas,lengkong,lengkong,7.0,300,410,4999000000.0,1
dijual rumah dekat terminal leuwi panjang di bojongloa kaler,bojongloa kaler,bojongloa kaler,6.0,170,120,2000000000.0,1
rumah nuansa villa murah dekat perumahan unpad cigadung,dago,coblong,3.0,71,121,1750000000.0,1
"rumah cantik di cluster cisaranten kulon, arcamanik  500 jt an",arcamanik,arcamanik,2.0,50,69,595000000.0,1
rumah baru 2 lantai arcamanik cisaranten 50/74 shm 659 juta bisa kpr,arcamanik,arcamanik,2.0,50,74,659000000.0,1
dijual rumah lux siap huni batununggal kota bandung,batununggal,bandung kidul,5.0,330,299,3900000000.0,1
dijual rumah lt115/50 hrg599 dekat terminal cicaheum bandung,cicaheum,kiaracondong,2.0,50,115,599000000.0,1
rumah baru padasuka bandung harga perdana,padasuka,cibeunying kidul,2.0,50,57,515000000.0,1
dijual rumah villa di ciwaruga gegerkalong bandung utara,gegerkalong,sukasari,7.0,600,3475,15000000000.0,1
rumah baru murah 530jt  2 lantai minimalis cluster ujungberung kodya,ujungberung,ujungberung,4.0,100,75,530000000.0,1
rumah siap huni di dago pakar resort view kota bandung,dago,coblong,5.0,375,542,6350000000.0,1
cluster mewah gaya korea sayap dago jl utama cigadung,cidadap,cidadap,3.0,105,100,2500000000.0,1
rumah baru bandung timur 2 lantai view gunung dan kota bandung dkt tol,gedebage,gedebage,3.0,60,68,526666690.0,1
jual rumah di moh toha bandung,regol,regol,7.0,1000,1194,17000000000.0,1
"rumah dijual di bandung kota, antapani, arcamanik",antapani,antapani,4.0,72,72,499000000.0,1
dijual rumah lux di dago pakar resort bandung,dago,coblong,9.0,1000,1160,14500000000.0,1
rumah dago view rooftop indah bandung utara konsep jepang,cibeunying kaler,cibeunying kaler,3.0,120,21,2250000000.0,1
rumah 1 lantai siap huni setra dago antapani,antapani,antapani,3.0,110,120,1190000000.0,1
rumah dan kost di surya sumantri sukajadi bandung,sukajadi,sukajadi,10.0,1800,925,15000000000.0,1
free costum rumah cigadung tanah luas harga promo all in,dago,coblong,3.0,76,120,1749999000.0,1
rumah mewah di setra dago antapani,antapani,antapani,2.0,110,105,2000000000.0,1
jual murah rumah villa bagus sarijadi sayap sukajadi bandung utara,sarijadi,sukasari,6.0,800,1000,6000000000.0,1
rumah modern minimalis dekat pemkot cimahi,lengkong,lengkong,3.0,86,102,986000000.0,1
spesial bulan ini   dijual rumah siap huni 560 juta,arcamanik,arcamanik,2.0,57,75,560000000.0,1
dijual rumah luas nyaman asri furnish kolam renang di dago resort,dago,coblong,5.0,350,989,14000000000.0,1
rumah mewah ada kolam renang di setiabudi regency,ledeng,cidadap,6.0,1400,1100,14000000000.0,1
dijual rumah baru minimalis cluster antapani kota bandung free biaya,antapani,antapani,3.0,95,75,1030000000.0,1
dijual rumah siap huni di cipaganti graha,buahbatu,buahbatu,4.0,110,113,850000000.0,1
rumah cantik ada kolam renang di megaraya sukaraja bandung,sukaraja,cicendo,7.0,502,300,4490000000.0,1
"nangka, sayap riau, gedung sate. rumah belanda di bandung tengah",bandung wetan,bandung wetan,3.0,300,437,8650000000.0,1
dijual kos2 an 18 pintu full furnish daerah cipedes bandung,sukajadi,sukajadi,18.0,270,151,3750000000.0,1
dijual rumah siap huni lokasi strategis sayap gatot subroto,malabar,lengkong,4.0,140,84,2500000000.0,1
di jual kos2 an sayap kopo dkt rs imanuel bandung,kopo,bojongloa kaler,5.0,65,70,450000000.0,1
kos aktif &rapi dkt uin cibiru,cibiru,cibiru,6.0,110,120,415000000.0,1
strategis dekat kampus upi setiabudi bandung,gegerkalong,sukasari,20.0,250,140,1300000000.0,1
rumah baru margahayu sayap rancabolang soekarno hatta bandung,sekejati,buahbatu,4.0,182,148,1750000000.0,1
dijual rumah siap huni kawasan dago harga terbaik,dago,coblong,2.0,100,50,1200000000.0,1
hunian ramah lingkungan,cibiru,cibiru,3.0,80,60,370000000.0,1
rumah di arcamanik bandung dalam cluster one gate,arcamanik,arcamanik,2.0,50,98,675000000.0,1
hunian murah dibojong raya indah,cijerah,bandung kulon,2.0,36,50,150000000.0,1
dijual rumah siap huni murah di permata buah batu bandung,buahbatu,buahbatu,2.0,50,90,750000000.0,1
rumah murah di komplek cisaranten kulon arcamanik jln lebar strategis,arcamanik,arcamanik,2.0,40,98,630000000.0,1
dijual rumah komplek grand sharon bandung,rancasari,rancasari,2.0,45,78,825000000.0,1
rumah baru bisa kpr tanpa dp di cijambe pasirjati ujung berung bandung,mandalajati,mandalajati,2.0,41,73,540000000.0,1
jual rumah ada warung sembakonya.,ujungberung,ujungberung,2.0,45,84,580000000.0,1
"jual rumah ciateul ( pungkur – toha ) , bandung . hanya hitung tanah",ciateul,regol,3.0,120,168,2250000000.0,1
dijual rumah 2kt 1 kamar mandi lokasi strategis,cicaheum,kiaracondong,2.0,36,50,135000000.0,1
dijual rumah bagus pusat kotamadya 100 m an ke jalan raya besar,cicaheum,kiaracondong,4.0,129,139,700000000.0,1
rumah nyaman strategis tengah kota di sinom turangga bandung,turangga,lengkong,3.0,140,169,2300000000.0,1
dijual rumah murah cisaranten kulon arcamanik,antapani,antapani,2.0,46,64,495000000.0,1
rumah murah di kawasan bandung utara sayap setiabudhi,ledeng,cidadap,5.0,150,401,2800000000.0,1
dijual rumah 2 lantai cluster di jatihandap atas view bandung,dago,coblong,3.0,55,85,550800000.0,1
rumah mewah view kota dan gunung di setiabudi bandung utara,ledeng,cidadap,5.0,1500,1530,14000000000.0,1
rumah yg besar cantik anggun dan artistik jln setra duta indah,sukasari,sukasari,6.0,700,750,16500000000.0,1
jual rumah asri strategis murah bandung timur dekat terminal cicaheum,mandalajati,mandalajati,2.0,36,84,365000000.0,1
rumah bagus terawat puri dago antapani arcamanik bandung,arcamanik,arcamanik,4.0,160,114,1600000000.0,1
"sayap jl dago bandung,dekat itb,lokasi strategis.",dago,coblong,10.0,500,1540,39000000000.0,1
di jual rumah lama terawat hook di jl dadali,andir,andir,5.0,300,590,6500000000.0,1
hunian asri bebas banjir dibandung,buahbatu,buahbatu,2.0,72,100,270000000.0,1
rumah bandung minimalis sayap pasteur,sukajadi,sukajadi,1.0,55,55,500000000.0,1
rumah murah strategis kiara sari buahbatu belakang samsat,buahbatu,buahbatu,3.0,90,73,699000000.0,1
dijual rumah cantik di kopo permai bandung,kopo,bojongloa kaler,4.0,280,365,3500000000.0,1
rumah murah aman nyaman dan strategis,panyileukan,panyileukan,2.0,30,60,162000000.0,1
di jual cepat rumah baru 2lantai sangat murah di dekat cicaheum,kiaracondong,kiaracondong,3.0,62,134,700000000.0,1
"margahayu raya , jual rumah baru minimalis on progres",rancasari,rancasari,2.0,55,72,650000000.0,1
rumah kayu knockdown dengan berbagai jenis dan desain free ongkir,buahbatu,buahbatu,2.0,52,100,150800000.0,1
kosan kiaracondong bagus murah aktif bandung,kiaracondong,kiaracondong,22.0,220,140,2100000000.0,1
rumah pasteur crystal,pasteur,sukajadi,2.0,50,50,1350000000.0,1
dijual cepat kostan aktif cihampelas,coblong,coblong,16.0,312,288,1200000000.0,1
dijual cepat kosan aktif di area kampus suci cikutra bandung,cibeunying kaler,cibeunying kaler,10.0,3,120,1500000000.0,1
rumah cantik bandung dekat stt telkom,kiaracondong,kiaracondong,2.0,36,60,160000000.0,1
"rumah bangunan 2012 siap huni di gatot subroto, bandung",malabar,lengkong,4.0,320,230,2185000000.0,1
rumah bagus semi furnish di cigadung sayap cikutra dago bandung,cigadung,cibeunying kaler,4.0,120,108,1800000000.0,1
"komplek griya asri pasirwangi , murah , nego keras",ujungberung,ujungberung,2.0,85,84,550000000.0,1
rumah 2 lantai murah,astana anyar,astana anyar,3.0,80,60,370000000.0,1
rumah 2 lantai 300 juta sajaa,antapani,antapani,3.0,72,50,300000000.0,1
rumah dengan kolam renang di komplek dago village,dago,coblong,3.0,158,307,5200000000.0,1
"permata kopo 1, posisi depan, harga cepat asal serius",kopo,bojongloa kaler,2.0,50,60,355000000.0,1
rumah termurah se-bandung raya,kopo,bojongloa kaler,2.0,36,50,175000000.0,1
rumah tinggal di cisitu indah 2 dago bandung jawa barat,dago,coblong,5.0,145,110,1950000000.0,1
hitung tanah rumah kopo permai,kopo,bojongloa kaler,5.0,200,203,1100000000.0,1
"jual rumah akses gang di bojong kacor , gang mars , awiligar",cibeunying kaler,cibeunying kaler,4.0,168,112,270000000.0,1
rumah + kos2an modern aktif tanah besar,ujungberung,ujungberung,6.0,200,168,520000000.0,1
rumah termurah dan terlaris dekat pusat kota bandung,cicaheum,kiaracondong,2.0,30,100,381000000.0,1
rumah di sekelimus bandung dekat rs mayapada,buahbatu,buahbatu,5.0,147,400,4000000000.0,1
jual rumah siap huni ujung berung indah,ujungberung,ujungberung,7.0,300,393,4200000000.0,1
jual rumah murah bandung timur (jatihandap ujungberung),antapani,antapani,3.0,60,80,340000000.0,1
rumah impian masa depan islami bandung timur dekat rencana exit tol,antapani,antapani,2.0,53,66,378950000.0,1
jarang ada rumah baru harga murah,cibeunying kaler,cibeunying kaler,6.0,300,189,1900000000.0,1
rumah minimalis dengan view gunung,dago,coblong,3.0,120,80,1900000000.0,1
dijual rumah lokasi strategis sayap gatot subroto kota bandung,malabar,lengkong,8.0,200,172,1900000000.0,1
rumah siap huni di kembar dekat lapang tenis,lingkar selatan,lengkong,5.0,250,210,2950000000.0,1
jual rumah murah di bandung dekat gasibu dago cikutra,cikutra,cibeunying kidul,2.0,36,77,288000000.0,1
rumah 2 lantai luxury desain suka-suka,cibiru,cibiru,3.0,80,60,370000000.0,1
siap huni 10menitan dari tol pasteur,pasteur,sukajadi,4.0,126,104,1975000000.0,1
hunian siap huni 2.5 lantai kawasan bandung timur,rancasari,rancasari,5.0,280,140,1270000000.0,1
dijual rumah siap huni di kiaracondong bandung kota harga terbaik,kiaracondong,kiaracondong,4.0,320,168,1650000000.0,1
rumah exclusive 2lt di take over kredit jatihandap bandung kota,cibeunying kaler,cibeunying kaler,2.0,50,98,970000000.0,1
dijual rumah pusat kota di turangga bandung,turangga,lengkong,3.0,165,241,3500000000.0,1
rumah 2 lantai termurah di kab.bandung,antapani,antapani,3.0,72,50,285000000.0,1
kosan padasuka terisi full dekat area kampus itenas widyatama bandung,cibeunying kidul,cibeunying kidul,20.0,620,350,3100000000.0,1
rumah minimlis 2 lantai udara sejuk view pegunungan bandung timur,ujungberung,ujungberung,3.0,10060,10078,537777789.0,1
"kos hrg bu  12kmr,km mandi dlm smua",mekarwangi,bojongloa kidul,12.0,200,140,750000000.0,1
kos cikutra dekat widyatama kamar mandi dalam full,cikutra,cibeunying kidul,10.0,200,130,2100000000.0,1
dijual rumah terawat siap huni puri dago antapani,antapani,antapani,3.0,90,126,1440000000.0,1
rumah asri di terusan cisokan,cibeunying kaler,cibeunying kaler,4.0,230,252,2600000000.0,1
rumah murah milenial dekat kota bandung,buahbatu,buahbatu,2.0,30,50,175121000.0,1
dijual rumah 2 lantai nyaman & asri di podomoro park,buahbatu,buahbatu,2.0,94,90,195000000.0,1
dijual rumah nyaman couple di pusat kota,lengkong,lengkong,2.0,150,150,975000000.0,1
pemasaran perumahan graha luqman cibiru residence ahmad land,cibiru,cibiru,2.0,36,66,325000000.0,1
rumah kost aktif mahasiswa unpas sayap lengkong & pungkur,lengkong,lengkong,9.0,173,193,1100000000.0,1
jual rumah summarecon gedebage bandung,gedebage,gedebage,4.0,261,216,5000000000.0,1
rumah komplek vijaya kusumah cipadung ujung berung bandung,ujungberung,ujungberung,3.0,150,117,770000000.0,1
di jual rumah nyaman cluster furnished di dago,coblong,coblong,3.0,114,140,1990000000.0,1
dijual kosan aktif full murah di babakan kiaracondong kota bandung,kiaracondong,kiaracondong,4.0,90,106,699000000.0,1
jual rumah bandung utara asri strategis dekat pusat kota bandung jatihandap,cicaheum,kiaracondong,2.0,36,84,365000000.0,1
rumah baru murah dekat pusat kota bandung,cicaheum,kiaracondong,2.0,36,85,473000000.0,1
hunian murah mewah cash on cash bertahap,pasirjati,ujungberung,3.0,80,60,370000000.0,1
dijual rumah siap huni puri dago antapani kota bandung.,antapani,antapani,6.0,220,140,1750000000.0,1
rumah lama tanah luas strategis di main road di sayap gatsu,malabar,lengkong,7.0,300,1694,31900000000.0,1
dijual rumah 2 lantai lokasi strategis bandung,pasir kaliki,cicendo,7.0,900,1405,17000000000.0,1
promo rumah cantik dekat podomoro harga 200 jt an,buahbatu,buahbatu,2.0,50,30,225000000.0,1
"jual rumah kosan deket  trans mart,stt telokom,podomoro",buahbatu,buahbatu,7.0,245,175,1400000000.0,1
dijual guesthouse di cisitu dago dekat itb harga terbaik,dago,coblong,20.0,300,343,4500000000.0,1
jual murah rumah ex kost sayap setiabudi bandung dekat rumah mode,ledeng,cidadap,17.0,250,330,2500000000.0,1
"rumah gempol sari dekat cijerah, holis, pharmindo bandung",gempolsari,bandung kulon,3.0,190,126,1200000000.0,1
siap huni bari 2 lantai ciwaruga gerlong,sukasari,sukasari,3.0,70,90,835000000.0,1
jual rumah di komplek pratista antapani,antapani,antapani,2.0,60,104,800000000.0,1
dijual rumah lama siap huni di antapani,antapani,antapani,4.0,86,96,815000000.0,1
rumah villa siap huni comfort valley dago bandung,dago,coblong,4.0,154,196,2000000000.0,1
rumah baru siap huni belakang masjid di mekar indah cibiru bandung shm,cibiru,cibiru,2.0,52,126,565000000.0,1
rumah hook arcamanik lokasi sangat strategis lingkungan nyaman asri,arcamanik,arcamanik,4.0,200,122,1200000000.0,1
jual murah rumah margahayu raya bandung,buahbatu,buahbatu,2.0,70,60,600000000.0,1
"dijual  rumah bagus , minimalis, murah siap  huni arcamanik bandung",arcamanik,arcamanik,4.0,178,90,1000000000.0,1
"turun harga, rumah di cisaranten kulon,",arcamanik,arcamanik,2.0,48,84,660000000.0,1
"rumah dekat polban gegerkalong, pasteur bisa cash & take over kredit",sukasari,sukasari,2.0,45,87,830000000.0,1
rumah 2 lantai dekat kota bandung,dago,coblong,3.0,80,60,350000000.0,1
dijual rumah luxury dan luas di jalan kembar timur,regol,regol,4.0,400,488,5500000000.0,1
rumah bagus siap huni di puri dago antapani dekat arcamanik,antapani,antapani,2.0,70,126,1450000000.0,1
"komp. sampoerna, padasaluyu selatan, setiabudi. rumah mewah di bandung",ledeng,cidadap,6.0,1200,1769,14500000000.0,1
"sayap riau, dekat anggrek, gedung sate, pusat kota. rumah di bandung t",bandung wetan,bandung wetan,23.0,800,701,20000000000.0,1
rumah sangat strategis di puru dago antapani,antapani,antapani,2.0,47,108,1300000000.0,1
dijual rumah mewah dago asri bandung,cidadap,cidadap,5.0,350,500,10000000000.0,1
rumah minimalis siap huni di cluster terbaik dekat puri dago antapani,antapani,antapani,2.0,42,72,835000000.0,1
rumah dan kosan dijual di lengkong bandung,lengkong,lengkong,10.0,440,220,3500000000.0,1
rumah plus kost an aktif di cigadung sayap dago bandung,cigadung,cibeunying kaler,9.0,350,298,2250000000.0,1
dijual cepat rumah siap huni komplek antapani strategis,dago,coblong,5.0,120,151,1550000000.0,1
dijual cepat rumah mewah american classic tropis di setiabudi regency,ledeng,cidadap,5.0,555,664,5130000000.0,1
dijual rumah 1 lantai murah di jatihandap 400 jutaan dkt cikutra,antapani,antapani,2.0,33,68,432000000.0,1
dijual kosan sayap pungkur strategis tengah kota,pungkur,regol,15.0,387,132,4000000000.0,1
jual rumah kost dekat kampus itb unpar unpad,dago,coblong,10.0,800,500,11000000000.0,1
"kiara sari buah batu , jual rumah murah jarang ada",buahbatu,buahbatu,4.0,61,94,900000000.0,1
dijual rumah di cluster cisaranten endah dekat soekarno hatta,arcamanik,arcamanik,2.0,56,78,745000000.0,1
rumah gempol asri cijerah siap huni,cijerah,bandung kulon,3.0,100,84,750000000.0,1
rumah di karang tineung indah cipedes sukajadi,sukajadi,sukajadi,6.0,412,854,13000000000.0,1
rumah dijual cepat di komplek bumi asri sukapura kiaracondong bandung,kiaracondong,kiaracondong,4.0,150,120,1150000000.0,1
"rumah kosan dijual di bandung, cijawura",buahbatu,buahbatu,28.0,245,245,1650000000.0,1
dijual rumah mewah perumahan elit dago bandung,coblong,coblong,4.0,520,440,11500000000.0,1
rumah di komplek kampung padi dago,dago,coblong,3.0,114,140,2250000000.0,1
jual rumah promo strategis cibiru hilir bandung,cibiru,cibiru,2.0,36,60,495000000.0,1
turun harga rumah besar di panyileukan dkt ujung berung bandung kota,ujungberung,ujungberung,4.0,121,102,895000000.0,1
rumah minimalis harga ekonomis bandung 2023,buahbatu,buahbatu,2.0,40,60,175000000.0,1
dijual cepat rumah full furnish margahayu raya,antapani,antapani,6.0,300,210,2000000000.0,1
dijual cepat! rumah siap huni di komplek ternama  dekat velodrome,padasuka,cibeunying kidul,2.0,55,72,475000000.0,1
dijual cepat rumah kost di tubagus ismail-dago harga ok pisan,dago,coblong,23.0,650,616,6750000000.0,1
rumah mewah di batununggal,batununggal,bandung kidul,5.0,270,200,4650000000.0,1
rumah dan kostan 100 meter dari jl raya ujungberung bandung kota,ujungberung,ujungberung,12.0,200,183,1200000000.0,1
termurah rumah 2 lt di buahbatu bojongsoang dekat pintu tol buahbatu,antapani,antapani,2.0,45,83,505000000.0,1
rumah dibawah harga pasar siap huni di cikutra baru,cikutra,cibeunying kidul,6.0,300,115,2350000000.0,1
"turangga bauhbatu bandung, siap huni, murah, jarang ada",buahbatu,buahbatu,4.0,150,130,1900000000.0,1
"rumah tanpa dp, di pasir jati, cijambe, ujungberung, bandung.",ujungberung,ujungberung,2.0,46,72,574700000.0,1
rumah siap huni komplek dekat uin cibiru bandung,cibiru,cibiru,3.0,85,97,475000000.0,1
"di jual rumah lux ter-murah  cisaranten arcamanik hanya 2,1milyar pass",arcamanik,arcamanik,4.0,300,306,2100000000.0,1
dijual rumah 2 lantai di cisaranten arcamanik bebas banjir,antapani,antapani,4.0,112,114,975000000.0,1
rumah murah terawat siap huni di cikutra bandung,cikutra,cibeunying kidul,5.0,225,240,2800000000.0,1
rumah belanda sangat strategis sayap laswi - riau,bandung wetan,bandung wetan,4.0,200,318,4750000000.0,1
rumah minimalis siap huni setra dago antapani,antapani,antapani,3.0,110,120,1190000000.0,1
hunian asri di bandung,andir,andir,2.0,30,50,155000000.0,1
rumah cantik bebas banjir   terlaris fullspek,batununggal,bandung kidul,2.0,42,62,180000000.0,1
rumah 2 lantai bandung utara di komplek dago asri,dago,coblong,6.0,300,400,8990000000.0,1
dijual rumah baru 1 lantai di cisaranten arcamanik bandung,arcamanik,arcamanik,3.0,72,148,865000000.0,1
"rumah kost di area kampus enhai, unpas, upi cocok untuk investasi.",ledeng,cidadap,16.0,390,200,2750000000.0,1
rumah lokasi strategis sayap gatot subroto siap huni,malabar,lengkong,4.0,140,133,2500000000.0,1
rumah modern kodya bandung cicil langsung developer,ujungberung,ujungberung,2.0,36,100,440000000.0,1
dijual rumah pratista antapani kota bandung,antapani,antapani,5.0,120,106,830000000.0,1
"rumah murah, bagus siap huni, arcamanik dekat jalan utama",arcamanik,arcamanik,4.0,150,176,1220000000.0,1
dijual rumah murah cluster ujungberung hanya 593jt view bagus,ujungberung,ujungberung,2.0,90,128,593000000.0,1
rumah termurah spek premium view kota bandung bonus banyak,ujungberung,ujungberung,3.0,60,78,548887777.0,1
promo rumah murah lokasi strategis legalitas shm dekat tol soreang,ujungberung,ujungberung,3.0,45,70,210000000.0,1
di jual rumah siap huni terawat dan nyaman  di perumahan ujung berung,ujungberung,ujungberung,2.0,70,105,890000000.0,1
jual rumah siap huni dekat stt telkom bandung,buahbatu,buahbatu,3.0,59,101,625000000.0,1
rumah murah 391jt cluster margahayu buahbatu kota bandung hanya 1 unit,buahbatu,buahbatu,2.0,40,59,391000000.0,1
"dijual rumah baru, komplek margahayu raya buahbatu cocok pasangan muda",buahbatu,buahbatu,2.0,43,60,599000000.0,1
rumah batununggal indah,batununggal,bandung kidul,4.0,170,111,2600000000.0,1
rumah siap huni murah,pasir impun,mandalajati,4.0,100,140,1300000000.0,1
yakin ngak mau lihat dulu rumah shm bagus di buah batu,buahbatu,buahbatu,4.0,105,105,985000000.0,1
dijual rumah dalam komplek ciwastra harga 700jt negoooo,buahbatu,buahbatu,4.0,99,112,700000000.0,1
rumah dago asri nuansa villa bandung utara dekat tempat wisata,batununggal,bandung kidul,3.0,118,112,2439000000.0,1
dijual rumah strategis dekat gedung sate bandung langsung jalan raya,kebonwaru,batununggal,5.0,102,164,1400000000.0,1
rumah luas jl. rajamantri turangga bandung,turangga,lengkong,4.0,250,515,7500000000.0,1
rumah baru siap huni di jalan kembar bandung,bojongloa kidul,bojongloa kidul,3.0,145,108,1950000000.0,1
angsuran 2 jutaan rumah strategis di cigugur dekat kota bandung,ledeng,cidadap,2.0,31,60,345000000.0,1
dijual rumah 2 lantai di kopo permai bandung,bojongloa kaler,bojongloa kaler,3.0,140,94,1500000000.0,1
rumah siap huni 13 menit kampus unpad itb ipdn dan tol,cibiru,cibiru,2.0,35,81,294000000.0,1
"dijual butuh cepat rumah lt120/110 hrg1,2 komplek elit antapani",antapani,antapani,3.0,111,120,1200000000.0,1
dijual rumah siap huni di komplek cisaranten arcamanik,arcamanik,arcamanik,4.0,102,136,860000000.0,1
